#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
12700,25.3999999999968,-43516.34103986277,6850.218957815498,-36666.122082047266,307.02141479962677,27.0,0.9916318011950421
12800,25.59999999999669,-43631.224433150426,6908.43263581895,-36722.791797331476,309.63050596756943,27.0,0.9916318011950421
12900,25.79999999999658,-43710.825188841955,6907.977883359526,-36802.84730548243,309.6101243207438,27.0,0.9916318011950421
13000,25.99999999999647,-43464.729720320836,6760.245458065828,-36704.484262255006,302.9888734520102,27.0,0.9916318011950421
13100,26.199999999996358,-43614.44051095499,6811.104073282182,-36803.33643767281,305.2683165026093,27.0,0.9916318011950421
13200,26.399999999996247,-43722.1906869079,6854.3782065816185,-36867.81248032628,307.2078290512794,27.0,0.9916318011950421
13300,26.599999999996136,-43580.41265698923,6813.168966647388,-36767.24369034184,305.3608633958254,27.0,0.9916318011950421
13400,26.799999999996025,-43415.28120252146,6876.445029571011,-36538.83617295045,308.1968466660531,27.0,0.9916318011950421
13500,26.999999999995914,-43411.39542504801,6912.226682848632,-36499.16874219938,309.8005521652227,27.0,0.9916318011950421
13600,27.199999999995804,-43531.22547837748,6944.391268805938,-36586.83420957154,311.2421435578292,27.0,0.9916318011950421
13700,27.399999999995693,-43877.421239104406,7032.05605841749,-36845.36518068692,315.17121033662795,27.0,0.9916318011950421
13800,27.599999999995582,-43407.46162148966,6696.537150593113,-36710.92447089655,300.1335173217589,27.0,0.9916318011950421
13900,27.79999999999547,-43543.54036351694,6709.128528087009,-36834.411835429935,300.697852937344,27.0,0.9916318011950421
14000,27.99999999999536,-43724.364251341955,6998.201561555302,-36726.16268978665,313.65387846914075,27.0,0.9916318011950421
14100,28.19999999999525,-43563.2211515571,6652.259670001573,-36910.96148155553,298.14903553822876,27.0,0.9916318011950421
14200,28.39999999999514,-43710.83096524729,6749.18655629897,-36961.64440894832,302.49322219071485,27.0,0.9916318011950421
14300,28.599999999995028,-43545.91504737391,6686.051373728337,-36859.86367364557,299.66355306687564,27.0,0.9916318011950421
14400,28.799999999994917,-43823.34068414225,6929.743859897094,-36893.596824245156,310.58565823465403,27.0,0.9916318011950421
